
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']


** get_Rfile_ascii_table_params: lline: 124 ['101', '-1525.64', '10.17474105', '27', '13', '0.083238', '0.109815', '0.095203', '0.166277', '0.081596', '344.762']

** get_Rfile_ascii_table_params: lline: 125 ['102', '-1586.3', '-60.65862674', '2', '29', '0.075533', '0.132396', '0.135321', '0.084589', '0.116326', '358.038']

** get_Rfile_ascii_table_params: lline: 126 ['103', '-1571.83', '14.47650986', '17', '2', '0.102985', '0.093593', '0.111249', '0.157854', '0.169797', '351.483']

** get_Rfile_ascii_table_params: lline: 127 ['104', '-1535.86', '35.96396533', '5', '12', '0.088158', '0.137843', '0.124246', '0.067114', '0.130981', '330.056']

** get_Rfile_ascii_table_params: lline: 128 ['105', '-1569.05', '-33.19050137', '27', '28', '0.101845', '0.101412', '0.069388', '0.114616', '0.075700', '340.302']

** get_Rfile_ascii_table_params: lline: 129 ['106', '-1509.75', '59.3008608', '11', '19', '0.107256', '0.070510', '0.111067', '0.121557', '0.078732', '343.362']

** get_Rfile_ascii_table_params: lline: 130 ['107', '-1563.26', '-53.50682748', '31', '3', '0.107926', '0.107688', '0.108122', '0.115008', '0.078015', '327.809']

** get_Rfile_ascii_table_params: lline: 131 ['108', '-1648.08', '-84.8197034', '8', '14', '0.082823', '0.117910', '0.103266', '0.110065', '0.130543', '355.116']

** get_Rfile_ascii_table_params: lline: 132 ['109', '-1601.07', '47.01120374', '21', '26', '0.101866', '0.132411', '0.135805', '0.153768', '0.185400', '331.264']

** get_Rfile_ascii_table_params: lline: 133 ['110', '-1569.65', '31.41972408', '22', '16', '0.062413', '0.119012', '0.155843', '0.133938', '0.043295', '332.961']

** get_Rfile_ascii_table_params: lline: 134 ['111', '-1508.83', '60.81992087', '12', '18', '0.079728', '0.105279', '0.140227', '0.083214', '0.097824', '324.195']

** get_Rfile_ascii_table_params: lline: 135 ['112', '-1585.51', '-76.67890071', '1', '16', '0.063912', '0.193337', '0.102981', '0.086009', '0.113418', '351.785']

** get_Rfile_ascii_table_params: lline: 136 ['113', '-1551.89', '33.62055215', '20', '0', '0.092280', '0.107890', '0.153365', '0.036841', '0.104893', '332.893']

** get_Rfile_ascii_table_params: lline: 137 ['114', '-1584.89', '-33.00653091', '13', '13', '0.084313', '0.099291', '0.105723', '0.087174', '0.103061', '349.181']

** get_Rfile_ascii_table_params: lline: 138 ['115', '-1529.74', '55.15555778', '30', '16', '0.113897', '0.112010', '0.129785', '0.135340', '0.085603', '340.164']

** get_Rfile_ascii_table_params: lline: 139 ['116', '-1613.2', '-83.46482599', '2', '5', '0.087077', '0.147789', '0.032094', '0.130206', '0.088552', '332.128']

** get_Rfile_ascii_table_params: lline: 140 ['117', '-1559.13', '54.07392933', '31', '7', '0.126781', '0.077598', '0.157571', '0.060512', '0.142240', '326.517']

